"Category","RelativePath","ItemType","FileCount","SizeBytes","SizeMiB","AggregateSHA256","Action","Reason"
"TEMPORARY_TOOLS_ZIP","tools\intas-literature-scenario.zip","FILE","1","49590","0,047","DA3AFCD66EFC93BC84338B1DC5F86210A293A976006CEBC64783C5C58C4AC02E","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","ZIP temporaneo non tracciato. Il checkpoint funzionale è pubblicato."
"TEMPORARY_TOOLS_ZIP","tools\mosaic-live-maga-runtime.zip","FILE","1","5605012","5,345","A98C8845E1E31149C87766FC8980B4B0D166074965CD3292670581947C99E12E","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","ZIP temporaneo non tracciato. Il checkpoint funzionale è pubblicato."
"EMPTY_REGENERABLE_STAGING","tmp\intas-literature-materialization-staging","DIRECTORY","0","0","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Directory di staging vuota e rigenerabile."
"REPETITIVE_CALIBRATION_LOG","tmp\phase14c43-nominal-smoke-seed-130363.log","FILE","1","6680","0,006","4E7121ABD3ACBC4A0FF710B1DA4A55ED5D07F5DF1A10E94BE5A28675A8180FB2","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Log ripetitivo già rappresentato dai CSV sintetici archiviati."
"REPETITIVE_CALIBRATION_LOG","tmp\phase14c43-nominal-smoke-seed-130363.stderr.log","FILE","1","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Log ripetitivo già rappresentato dai CSV sintetici archiviati."
"REPETITIVE_CALIBRATION_LOG","tmp\phase14c43-nominal-smoke-seed-130363.stdout.log","FILE","1","53","0","E650CDB8EB49B83455AAEC2616A76BA9D7E73B282664F28F67C1BB602F11706E","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Log ripetitivo già rappresentato dai CSV sintetici archiviati."
"REPETITIVE_CALIBRATION_LOG","tmp\phase14c43-nominal-smoke-seed-155921.log","FILE","1","123352","0,118","9A6403ABFD03FEECA7800A003F029764C958A73C246C575E7542CD07E90094E3","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Log ripetitivo già rappresentato dai CSV sintetici archiviati."
"REPETITIVE_CALIBRATION_LOG","tmp\phase14c43-nominal-smoke-seed-181081.log","FILE","1","123574","0,118","DF1789B73A2EB5DBE86A3303259AF7CBEF213A87CBF5BFE561CF392CAAF7AE70","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Log ripetitivo già rappresentato dai CSV sintetici archiviati."
"REPETITIVE_CALIBRATION_LOG","tmp\phase14c43-nominal-smoke-seed-207547.log","FILE","1","123352","0,118","717DFE3F772CE8D50A8656E559243D67778EBF9F1C1FB8F2D62253FA7B37627A","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Log ripetitivo già rappresentato dai CSV sintetici archiviati."
"REPETITIVE_CALIBRATION_LOG","tmp\phase14c44-high_density-smoke-seed-104729.log","FILE","1","132218","0,126","B74E2CD576621EFDAFD91550B04EF02BF76F6BD5D29A87D8067103168C1972D8","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Log ripetitivo già rappresentato dai CSV sintetici archiviati."
